-0.948563,-0.398818,0.331297,-0.155027,-0.587470,-0.499743
0.178102,0.700243,-0.343613,-0.950152,-0.270015,0.530762
-0.312145,-0.812208,-0.776318,0.521343,-0.836655,0.101912
0.073074,0.477420,0.967251,-0.562300,-0.091208,0.037308
0.173458,0.169688,0.473836,0.257748,0.592256,0.167432
-0.357387,0.609613,0.751349,0.930804,-0.495830,-0.760110
-0.565501,0.860000,0.936847,0.034372,0.827134,-0.302880
-0.457003,-0.438725,-0.018231,-0.221375,0.984198,0.131922
0.964943,0.168622,-0.328812,0.844058,0.551201,0.527255
-0.184788,-0.205452,-0.439286,-0.661542,0.956633,-0.770027
0.539215,-0.550137,0.828503,0.333250,-0.563030,-0.606661
0.627168,-0.041728,-0.729599,0.540275,0.902404,0.997760
-0.742007,-0.507846,-0.594904,0.205973,0.246163,-0.555187
-0.666469,0.123776,0.569266,-0.043642,-0.029242,0.109516
-0.504254,0.771182,0.884904,0.121329,-0.809418,0.765034
